case_id,ENSG00000141510.18 TP53,ENSG00000146648.19 EGFR,ENSG00000168702.18 LRP1B,ENSG00000133703.13 KRAS,ENSG00000116044.16 NFE2L2,ENSG00000147889.18 CDKN2A,ENSG00000101825.8 MXRA5,ENSG00000110628.16 SLC22A18,ENSG00000008226.20 DLEC1,ENSG00000141736.14 ERBB2,ENSG00000157764.14 BRAF,lung_cancer
00000c20-b875-4821-8d4b-c50d7a7f9879,7.7824,101.5022,0.3619,85.3471,56.0679,43.0301,62.8950,15.0197,0.3189,43.7966,11.5045,1
000b6b94-572d-4d06-a8f4-2e43829f83d4,114.6265,74.7242,0.0566,35.6218,44.0507,40.2228,62.1511,15.5693,0.4611,31.2951,5.0402,1
0052ae83-7ae5-470a-a125-5cd94a9fa9e9,38.8431,3.6417,0.8346,10.2408,58.8056,103.7637,9.0967,3.7813,0.0000,21.6531,5.7163,1
00810078-a4fc-4e1d-bbdc-e5e0d3080025,34.4417,52.3183,0.2768,26.7771,106.5163,11.4823,95.0291,13.3685,3.2494,55.4376,3.9081,1
00ad0370-5339-4136-800c-56d4250af0ab,20.2548,117.1250,0.0000,62.9837,65.8861,7.3981,52.7691,24.7251,5.1706,59.8724,68.6863,1
00bc0fe4-481a-4893-b57e-d5113a6bcce2,23.9585,7.6208,0.0145,24.0498,99.3261,0.3049,37.0932,8.0617,0.1786,48.3487,3.2021,1
01703923-fdd7-477b-822a-e1eabb0f2404,18.3913,10.0682,1.0062,45.1053,85.1293,1.0432,55.0794,8.5223,0.9427,215.0167,28.3167,1
01977422-7f46-41d2-bc19-ed0093af8f25,79.6091,104.8057,1.5817,30.7992,713.1703,58.6213,13.1931,23.3170,0.7539,50.3221,4.7640,1
021326fa-7b6c-45c0-b078-4646c2260068,51.4380,69.3088,0.0550,31.3630,119.1000,29.7229,15.4441,9.5502,0.3933,25.1921,2.3596,1
0215d9f8-36a8-438a-abb3-eb96c5a087ac,15.4538,62.6246,0.9323,77.0796,71.4809,0.9022,52.5019,11.1566,1.8181,14.1618,17.9535,1
023a34d9-c000-4053-b695-5b984b4a6fc1,60.5502,7.5314,0.0000,48.3576,55.1988,109.3442,22.4640,15.3753,0.5528,49.0336,5.4221,1
025e4db8-0685-41b5-ab41-cb779890296b,27.7480,125.7607,0.1830,21.5513,158.5552,28.4250,176.3631,12.0657,4.9866,32.1876,15.8732,1
02a9936a-363e-4874-8f97-715a117973bd,119.5523,121.3581,0.0289,24.4773,97.3221,77.4943,106.2020,19.6967,0.2126,29.1587,4.7802,1
02cea26c-3987-41a8-b040-d6a72fc7a220,13.9554,1137.9272,0.1336,25.5199,77.3080,88.1718,226.4784,7.1033,0.1625,82.3847,6.4621,1
02fe497b-25f6-40f8-9256-e0fedcbe9e95,34.0928,65.3862,0.0588,40.3321,213.2384,0.2725,45.2471,2.1339,2.8044,19.1408,21.5013,1
030d778f-ecb4-44eb-8baa-4286e18c9fdd,35.7400,44.9190,0.0085,20.3992,68.6860,0.4914,26.2100,29.7017,1.6026,186.3605,5.6548,1
0341f229-a7c4-4a40-803a-ec2af78b8fa9,18.5970,65.0540,0.5327,21.2869,61.6625,1.8850,59.3907,8.4602,1.5143,43.5092,15.6800,1
0344d3bb-8bb2-459e-bc1f-ba31c7470d08,22.9607,30.9411,0.0036,21.1414,53.4998,42.2840,63.8998,15.4462,3.7150,72.8710,9.3903,1
035e88ea-e471-434a-8b93-ea7cc5776a89,36.5006,34.2550,0.0057,34.6356,87.9975,25.9205,304.8265,7.0699,0.8603,48.5499,5.1004,1
03680aea-84a2-4775-bb9c-24f8c5907247,34.0728,6.1338,0.2464,27.3141,63.3071,0.2729,70.0011,20.9450,0.5934,117.1549,3.5746,1
03dc3c08-c876-492c-8e19-b1227d238aee,14.9862,34.0289,0.1810,23.7314,46.5268,1.6326,189.6333,8.9321,6.3982,191.7352,12.6764,1
041ade4f-0a88-4b1d-8454-08a2bc3cb3c2,44.1204,117.1609,0.7925,35.0326,231.1961,48.7120,26.7729,8.3259,0.1244,15.8494,3.7449,1
044d098e-c65f-4152-8939-3c315aed0073,16.6634,30.1345,0.3244,18.2550,47.4173,0.6037,79.9818,3.7264,0.1522,14.9343,1.6588,1
04778fc1-a821-4029-a383-d88e711f3bee,36.8502,59.0145,0.0188,43.0137,123.1415,65.0976,13.0645,28.3605,0.3177,38.9017,2.5187,1
04c49a7b-325e-452c-950f-acb98d2e72a1,9.9875,38.8938,0.0949,24.2487,54.2592,4.7097,13.2391,6.9645,2.4883,60.6557,10.6458,1
04ef3db1-3543-4771-a81e-888a4fcf7ba6,17.9882,47.3170,0.0173,27.4048,60.1341,0.3822,9.6137,8.1642,1.7808,48.7709,14.7703,1
04fae5f3-cc86-48aa-a935-77195c1fa8bc,52.9250,144.1008,0.1929,26.2194,167.0019,26.4186,14.0142,2.5566,0.1816,58.4257,6.1568,1
0524ff66-b4a9-4c78-84e3-5bcb6d9d77b4,18.5189,65.8072,0.2175,44.3251,84.6225,0.5907,126.1994,20.1601,2.4910,75.6158,12.7176,1
055fcce9-7448-4a16-ad18-d235dac7ce97,44.9371,42.3354,0.0080,42.5614,77.5073,16.9926,230.2071,29.6550,0.2660,96.3619,3.5021,1
056fd446-19f7-4d9f-975b-ca8d2c2e944a,58.0023,51.1940,0.1190,31.7026,141.8113,85.0755,110.1839,11.4533,1.1316,52.4837,5.7225,1
0570d9f9-d665-408c-b30b-66212ddaf838,68.7765,35.4921,0.0072,18.7321,76.4153,0.4698,22.8363,16.7126,0.1977,51.5815,2.6957,1
05fa4573-6ca5-40dc-a48b-ec847b7c58ad,22.2023,27.0096,0.0784,17.5364,106.8008,2.3838,12.3381,12.1341,89.6244,73.0052,3.7879,1
0601750d-110f-451b-8989-fc4925156de3,13.8828,42.2628,0.2551,18.2281,55.4690,1.8236,59.2648,2.2272,1.5955,29.1205,12.7085,1
0614c3dd-673e-4dd4-9c5b-4311176b34d1,12.4551,125.8452,5.2891,36.6579,450.0523,26.8100,75.4642,14.9566,0.1829,32.8954,8.3590,1
06853a17-c3e8-42dd-800f-529366a4170a,13.9317,29.5732,0.4019,17.2050,109.1864,6.0871,33.3619,3.2384,4.5022,15.6583,12.2376,1
06a639d9-ade5-4cbb-91b0-a41449ce4f49,8.5184,222.1587,0.0065,28.1769,100.5872,1.3950,9.9068,14.2607,1.2872,170.7487,4.0768,1
06ca30ec-156b-4f5e-9466-4563296a589d,23.5773,180.3981,0.6112,20.0872,100.4538,73.8290,92.6579,7.8192,0.8074,131.5997,9.9071,1
06d5f913-5f62-4200-8a51-26c8fa2052b4,45.0867,19.8184,0.0389,39.6120,65.5003,15.0150,70.3253,6.0767,1.4039,94.0608,3.6473,1
06e1708b-900a-49a2-81f4-e4443fefbf5c,37.9120,72.5121,10.2282,29.0601,275.4660,0.2346,26.4637,8.5360,1.0461,44.3606,13.1608,1
06e8f5c1-1ba7-49fb-8591-0a5f5c6a6d41,26.2576,211.1136,0.5172,36.7996,78.2009,0.7185,50.8250,9.1198,1.3695,74.3486,31.0862,1
07045ec7-37fd-470e-879d-4da910844120,23.7466,49.8977,2.2916,20.9499,64.5577,98.5637,64.1170,9.8299,1.2015,99.6624,14.5264,1
070c3a23-71f2-4601-a566-d16545ee9766,9.4988,67.5263,0.0334,24.7128,44.7706,3.0527,33.1631,3.8632,2.9009,54.6426,15.4799,1
0737eb23-c066-4522-8f5c-dbb4b3b516b0,37.3734,74.2942,0.0208,28.1055,80.1965,13.1175,13.3134,18.4646,8.8344,78.4635,7.3284,1
074b0792-df3c-4b59-9f50-793bc14bcb81,20.7166,23.6666,0.0231,45.1334,65.1023,0.4133,15.6545,11.3207,0.8042,122.4130,5.4211,1
0758a891-b175-4ad6-8f2f-6668f757c37e,18.0734,60.6275,0.0672,31.6513,73.4135,25.4295,49.3082,5.1890,3.7430,30.1057,9.4872,1
0765d9e8-0fec-46bc-832a-89945435d5b1,22.5920,62.3389,0.0070,22.0835,85.2421,0.2951,18.6517,44.0856,2.0212,90.7144,6.0398,1
0766019a-c9b7-4224-973e-f1cfa16082ac,32.3892,60.5304,0.5855,17.8776,94.0757,6.4722,23.1112,49.9888,13.3072,53.9993,4.0183,1
0791f456-b9b0-456d-ae7b-52534bfb485f,23.1110,292.4704,0.0441,23.8661,52.8921,0.2321,37.6112,23.2673,0.8758,56.7355,8.3489,1
07a53d2a-ebf6-4517-880a-064bae5ee972,73.3982,20.3084,0.0326,64.7450,79.0729,5.5813,54.9844,12.1808,0.9699,262.0460,6.2271,1
